mint,symbol,buy_tx,sell_tx,total_tx,buy_sol,sell_sol,net_sol,buy_tokens,sell_tokens,net_tokens,first_block_time,last_block_time,first_time_utc,last_time_utc
MiFAEqb5LU4gxsKUWMTmr7rAjoKw64Uk9raTw26pump,,1,1,2,0.519020036,0.452061793,-0.06695824300000003,3435395.165332,3435395.165332,0.0,1777609923,1777609964,2026-05-01 04:32:03 UTC,2026-05-01 04:32:44 UTC
CBLpK9s2RzRdpD4M1xrsm8nWQQqCo59kDRVyFtQmpump,,1,1,2,0.509594308,0.424338347,-0.08525596100000005,2861976.345472,2861976.345472,0.0,1777609943,1777610043,2026-05-01 04:32:23 UTC,2026-05-01 04:34:03 UTC
7n3tKCurzjrQ9ica4G5Kf789KVymmH6bbHSKtNtWpump,,1,1,2,0.599726016,0.526441718,-0.07328429800000003,16195209.940067,16195209.940067,0.0,1777610198,1777610235,2026-05-01 04:36:38 UTC,2026-05-01 04:37:15 UTC
3NdbKUzQ9pZY3ubFHaiAsnokXWEfLy9cWX3Mi1uMpump,,1,1,2,0.580924956,0.527383525,-0.053541431000000084,7760871.620389,7760871.620389,0.0,1777611045,1777611060,2026-05-01 04:50:45 UTC,2026-05-01 04:51:00 UTC
HkbjnerdHCjZjnuQwWtAGExYTcipM11Rj7uFyCHkpump,,1,1,2,0.511866732,1.186089976,0.6742232440000001,3057203.532322,3057203.532322,0.0,1777612391,1777612423,2026-05-01 05:13:11 UTC,2026-05-01 05:13:43 UTC
dGUZGWMbd597oAAo79Thj3BUvNZxJE66BTeRRD4pump,,1,1,2,0.509071739,0.405794977,-0.10327676200000002,6891652.066856,6891652.066856,0.0,1777612587,1777612614,2026-05-01 05:16:27 UTC,2026-05-01 05:16:54 UTC
75UyukCxDAnkhAUiDRpAo9euS4cdTq9CkpRzXqmQpump,,1,1,2,0.509594308,0.498357901,-0.01123640700000006,5642078.131433,5642078.131433,0.0,1777613079,1777613162,2026-05-01 05:24:39 UTC,2026-05-01 05:26:02 UTC
DsBg2TJfULBHD7HF7JVYZmU42Bixo4o9qrakvp4jpump,,1,1,2,0.482359319,0.278837592,-0.20352172699999999,8428905.804198,8428905.804198,0.0,1777613674,1777613681,2026-05-01 05:34:34 UTC,2026-05-01 05:34:41 UTC
3NKmFHZZuPz7AfR98Q4VXLtXyM1sh1XLtjZwtnecpump,,1,1,2,0.55381672,0.54623465,-0.007582069999999996,7541370.041023,7541370.041023,0.0,1777614832,1777614864,2026-05-01 05:53:52 UTC,2026-05-01 05:54:24 UTC
AjGNSy5HbKK3crurbU4TBu3FgEUhSEhPgKoDT4f6pump,,1,1,2,0.518177935,0.408293986,-0.10988394899999998,14472926.051903,14472926.051903,0.0,1777615453,1777615472,2026-05-01 06:04:13 UTC,2026-05-01 06:04:32 UTC
2LygJAoS26geswH1pkGLrLBqdeX6rqXZn8kMxgcHpump,,1,1,2,0.509177797,0.462800696,-0.046377100999999976,7928578.64721,7928578.64721,0.0,1777615629,1777615648,2026-05-01 06:07:09 UTC,2026-05-01 06:07:28 UTC
dcM4Czn1PXetC5R5CxK54biPuTha6nYim3ypb2fpump,,1,1,2,0.44297567,0.608987397,0.16601172700000005,9270075.019436,9270075.019436,0.0,1777615672,1777615704,2026-05-01 06:07:52 UTC,2026-05-01 06:08:24 UTC
919tS7G5B4d6JerPxhkSNhBYRaZxwwvCGRPwQMnApump,,3,3,6,1.4939888369999998,1.527880014,0.033891177000000106,36343613.680139,36343613.680139,0.0,1777616219,1777620811,2026-05-01 06:16:59 UTC,2026-05-01 07:33:31 UTC
Evb3ZLPwSR9hTDeanz2U6xRfdqJuns5Dce3EBQcbpump,,1,1,2,0.509090862,0.488130192,-0.02096066999999996,13806624.221112,13806624.221112,0.0,1777616494,1777616514,2026-05-01 06:21:34 UTC,2026-05-01 06:21:54 UTC
Becf5jmHjavyz6SgzeWyEzr8DLG8Z6jHKoiyno5Vpump,,1,1,2,0.511267786,0.476805699,-0.034462086999999975,10505636.603011,10505636.603011,0.0,1777616646,1777616679,2026-05-01 06:24:06 UTC,2026-05-01 06:24:39 UTC
8uX3K3LPc5gZ2SNWaBw4ux2GqiwJB21Pmrnjbhh6pump,,1,1,2,0.584246653,0.563683085,-0.020563568000000032,6755652.371689,6755652.371689,0.0,1777617973,1777618060,2026-05-01 06:46:13 UTC,2026-05-01 06:47:40 UTC
5xMNDZzuFvcoBjZraafkRZ3vPxAPYpXTL5dRjJQQpump,,2,2,4,1.1303485640000002,0.827053217,-0.30329534700000016,21774231.223306,21774231.223306,0.0,1777618306,1777618341,2026-05-01 06:51:46 UTC,2026-05-01 06:52:21 UTC
5vxbQPg7h3aNTjS1NigbW19pQgU3EYKtasrnBz8Kpump,,1,1,2,0.497992504,0.479003495,-0.018989009,8527235.746941,8527235.746941,0.0,1777618546,1777618571,2026-05-01 06:55:46 UTC,2026-05-01 06:56:11 UTC
AB9MAtuAhWM6joeDj78NmTyFsTbSJGXnyKEtU7pNpump,,1,1,2,0.647301496,0.553991661,-0.09330983500000001,16451975.206929,16451975.206929,0.0,1777620271,1777620310,2026-05-01 07:24:31 UTC,2026-05-01 07:25:10 UTC
9xcpRrCQ7iYeSqzViFJupBnVaAYbY9jMBHyciAw6pump,,1,1,2,0.544789508,0.39660704,-0.148182468,5070473.471208,5070473.471208,0.0,1777620751,1777620781,2026-05-01 07:32:31 UTC,2026-05-01 07:33:01 UTC
5DyqN3AJMfwPtX9Vw6pvyLxH8tkFS2a1AtdVDmXPpump,,1,1,2,0.644072754,0.718227566,0.07415481200000007,8445370.09863,8445370.09863,0.0,1777620783,1777620823,2026-05-01 07:33:03 UTC,2026-05-01 07:33:43 UTC
