mint,entry_time_utc,entry_ts,entry_slot,entry_signature,entry_sol,age_s,pre_trade_count,pre_buy_count,pre_sell_count,pre_buy_ratio,pre_unique_wallets,pre_unique_buyers,pre_buy_sol,pre_sell_sol,pre_net_flow_sol,last_trade_gap_s,last30_trade_count,last30_sol,last60_trade_count,last60_sol,price_return,near_high,wallet_position_buy_sol,wallet_position_sell_sol,wallet_position_net_sol,wallet_position_roi
C5s1X3a2rCgaF1hudfRSwHgvV3y4wiLfdPfc9ZKtpump,2026-05-01 03:21:57 UTC,1777605717,416792783,co1CytQVv8bnTNy8xfYbX4dmVWqzuEW6v3MJDHdeWBC493Xfi4NRqXGeaXKCw2gSqNuQ7DDSaaJLuNUj5pGBDiq,0.510410663,11,18,12,6,0.6666666666666666,12,12,5.751753655000001,2.099111369,3.6526422860000007,0,18,7.850865024000001,18,7.850865024000001,0.06065270934688605,0.7113549338706148,0.510410663,0.541664143,0.031253479999999945,0.061232027983709934
7DxqaCF6mnPvTuWQJjt3Gn4yjvpXE6ysjxDpdmwxpump,2026-05-01 03:25:20 UTC,1777605920,416793305,3a8CaFVFULfTwnX1LyoBMSnuMtPncEQ81QZZsTmzTbva1ewjFKBG74TL1FSNP73Pmjc6ujk7SWPZj2DAkcq8gKb2,0.534466564,23,137,92,45,0.6715328467153284,85,85,69.69731736099997,38.91655957300001,30.780757787999967,0,137,108.613876934,137,108.613876934,1.652657427749498,0.6622715653599113,0.534466564,0.455127091,-0.07933947300000005,-0.14844609250430124
CQYTnKGEGNu8Y29qHVRp3HHLW9vUycxEF5UD8FeKpump,2026-05-01 03:36:16 UTC,1777606576,416794952,HEyWYhDg1B4NatKba3miTRmJXpRn6yUnBqcaj7ACrToQgaGkepeu7d6XeNhcvzLa2uzz44kohKAjqaoARpo5U4t,0.509323039,96,185,112,73,0.6054054054054054,88,88,59.82202602800001,40.97114330100002,18.85088272699999,0,41,29.515867533,97,50.580865529000015,0.9965944950482024,0.5798752553963861,1.0828919369999999,1.121077533,0.038185596000000155,0.035262609956989786
9T3zykmK1R9FT9HaV57PXcHauj7dSZ6TELZR4Kjmpump,2026-05-01 03:51:41 UTC,1777607501,416797304,5dWVYrhRCFUodHhNtyETKVe4k9AdQZfjmw5jumup5oyFQCCndAmRNLXadLn2eu4PcARDBKeRaG7iHaEyniRUAHJU,0.509594308,297,118,74,44,0.6271186440677966,76,71,42.82425607300001,16.154033405,26.670222668000008,0,63,43.665670458,68,46.05260375,1.7463784825987125,0.9577878160601603,1.016068809,0.880541988,-0.13552682100000002,-0.13338350690381245
QkZ8azx2moWutaCUhrYkh6oQKB3hTFUSG5Uvffspump,2026-05-01 03:51:57 UTC,1777607517,416797346,5wQgcKiPto85QitkP3fyEzGUBwJkj99yh8s4sZKuzXBXcZaqRJtZBZmueiUwbacesXExGzvv2U7QHTtEUXfhpUp1,0.509594308,59,141,87,54,0.6170212765957447,46,46,57.01826393499998,49.86128842100002,7.15697551399996,0,52,36.63244643800001,141,106.879552356,-0.06885285354294901,0.27249588897297133,0.509594308,0.663996646,0.15440233799999992,0.3029907037344693
J9g3uo3KHKwLVyzjxiTAeNffWmt7JoybyoF1q2Hhpump,2026-05-01 03:57:36 UTC,1777607856,416798209,2wsEha8KfMaXLvUiUWtPh7AeYoKk9uXZaQCrWKumo9FJPzjMSWbC7kF5NwC3ZKxSGVNvaqGnunj5aZNEUn1peyfR,0.509542816,105,255,169,86,0.6627450980392157,131,131,77.49787406099989,55.09233438600001,22.40553967499988,1,40,19.032980524000003,120,40.919629207,0.6607714870611436,0.30894588756049773,0.509542816,0.55221225,0.042669434000000006,0.08374062524315917
24LC1Kv92pD1x3CHMDjQwLkuVTZ156uH6zresjFFpump,2026-05-01 04:03:01 UTC,1777608181,416799030,4g5fpcFpDrEiDdQoQU85wMu25QxHC8XXAHf9NR7NKGqWAmbkWtrSR5uCTPy256AiteYR9pRBHDkSR6DCKcX87AXJ,0.509363083,23,96,70,26,0.7291666666666666,64,64,48.57431525900001,23.221780528000004,25.352534731000006,0,96,71.79609578699998,96,71.79609578699998,1.7695391166929841,0.8615078208957869,0.509363083,0.312056633,-0.19730644999999997,-0.3873591482875487
H7o7PT7SzAFYn9FhmSo4N31zMHKPwbUFjK3B6nPxpump,2026-05-01 04:03:42 UTC,1777608222,416799133,4pWme7CsFHmyHBPaaoCMXKcL7y9bF3o1tVeoqs7ipcPN1SyAb5Vcnb1R7xeEDKkAmjJjThJZkQMs4Nbd9GLFKgFK,0.509471586,50,187,116,71,0.6203208556149733,106,106,69.70841531299999,46.260145634,23.448269678999992,0,69,41.50559170799999,187,115.96856094699997,1.6339798140767803,0.7690171814365477,0.509471586,0.722837427,0.213365841,0.4187983135137982
BFYkwYiK8b2a6gzspnfmKAUWwU9B4Y4MDsrQMnZapump,2026-05-01 04:17:11 UTC,1777609031,416801180,4HD3DdFHojYExyUyMZZGsdxLJttcnVw3qd4RLsEhvxeANubtPpLcF1JHxJio1f9t7ezcoiXPrcoZ49WJRKmxuv17,0.514574892,23,2,2,0,1.0,2,2,0.4792234,0,0.4792234,0,2,0.4792234,2,0.4792234,-0.999572813677624,0.0004271863223759842,0.514574892,0.481184625,-0.033390266999999973,-0.06488903271246273
9fisMRbPhfzJQqUVWM1AStfRmktNxQMEa62hxDo5pump,2026-05-01 04:23:17 UTC,1777609397,416802118,4Jjpo32gnsbNAWp1As7Zpm9dby5bb8Wsp9iEMdgd1zA7C5AMcv68jhtkrCWSqK4aLTtqB7v14xBpmfjPKKfgXhqo,0.509594308,0,1,1,0,1.0,1,1,0.642134303,0,0.642134303,0,1,0.642134303,1,0.642134303,,1.0,0.509594308,0.49546928,-0.01412502800000004,-0.027718182440923257
